accession	type	adm1	adm2	adm3	adm4	x	y	year_charac	select	from_gps	elev_mean	elev_median
228768	farmer variety	Oromia	MIRAB SHEWA	AMBO	Goljena Kenfel	NA	NA	1993	FALSE	TRUE	NA	NA
228771	farmer variety	Oromia	MIRAB SHEWA	AMBO	Kilibe Nius Tabiya	NA	NA	1993	FALSE	TRUE	NA	NA
228862	farmer variety	Oromia	MISRAK HARERGE	META	Kebenawa No3	41.59305556	9.31	1993	TRUE	TRUE	947.2622951	989
229250	farmer variety	Amhara	SEMEN SHEWA	LAY BETNA TACH BET	Market	NA	NA	1993	FALSE	TRUE	NA	NA
229251	farmer variety	Amhara	SEMEN SHEWA	LAY BETNA TACH BET	Fetra 2km, from Fetra on the way to Alem ketema	NA	NA	1993	FALSE	TRUE	NA	NA
229253	farmer variety	Amhara	SEMEN SHEWA	LAY BETNA TACH BET	Buyo 5km, S.W  of Fetra town	NA	NA	1993	FALSE	TRUE	NA	NA
231475	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	NA	38.9	8.783333	1989	TRUE	TRUE	647.2666667	646
231477	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	NA	38.9	8.783333	1989	FALSE	TRUE	647.2666667	646
231479	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	NA	38.9	8.783333	1989	FALSE	TRUE	647.2666667	646
231480	farmer variety	Oromia	MISRAK SHEWA	ADA'A CHUKALA	NA	38.9	8.783333	1989	FALSE	TRUE	647.2666667	646
231508	farmer variety	Oromia	MISRAK SHEWA	AKAKI	NA	38.816667	8.85	1989	FALSE	TRUE	815.9	808
231524	farmer variety	Oromia	MIRAB SHEWA	JELDU	NA	38.066667	9.266667	1989	FALSE	TRUE	1467.95	1477
231565	farmer variety	Amhara	SEMEN SHEWA	DEBRE BERHAN ZURIA	NA	39.483333	9.65	1989	FALSE	TRUE	1493.583333	1490
231572	farmer variety	Amhara	MISRAK GOJAM	ENEMAY	NA	38.166667	10.633333	1989	FALSE	TRUE	1233.45	1235
231573	farmer variety	Amhara	MISRAK GOJAM	ENEMAY	NA	38.166667	10.633333	1989	FALSE	TRUE	1233.45	1235
231580	farmer variety	Amhara	DEBUB GONDAR	TACH GAYINT	NA	NA	NA	1989	FALSE	TRUE	NA	NA
231586	farmer variety	Amhara	SEMEN WELLO	DAWUNTNA DELANT	NA	39.15	11.566667	1989	FALSE	TRUE	1657.666667	1666.5
231597	farmer variety	Amhara	DEBUB WELLO	DEBRESINA	NA	39	10.85	1989	FALSE	TRUE	1631.55	1635.5
231994	farmer variety	NA	NA	NA	NA	NA	NA	1989	FALSE	TRUE	NA	NA
234498	farmer variety	Amhara	MISRAK GOJAM	ENARJ ENAWGA	NA	NA	NA	1999	FALSE	TRUE	NA	NA
234513	farmer variety	Amhara	MIRAB GOJAM	JABI TEHNAN	NA	NA	NA	2003	FALSE	TRUE	NA	NA
234514	farmer variety	Amhara	MIRAB GOJAM	JABI TEHNAN	NA	NA	NA	2003	FALSE	TRUE	NA	NA
236269	farmer variety	Tigray	DEBUBAWI	OFLA	Sebhale Korem 14Km. to Sekota	39.38833333	12.49611111	NA	TRUE	TRUE	1328.372881	1312
236271	farmer variety	Tigray	DEBUBAWI	OFLA	Menkese Korem 5Km. to Maychew	NA	NA	NA	FALSE	TRUE	NA	NA
236276	farmer variety	Tigray	DEBUBAWI	ENDAMEHONI	Ambalage ayba 17Km. Maychew to Mekele	39.5225	12.93888889	NA	TRUE	TRUE	1216.229508	1198
236278	farmer variety	Tigray	DEBUBAWI	ENDERTA	Qwha Debre Medhanit 15Km. Qwha to Asmera RD.	39.58611111	13.63083333	NA	TRUE	TRUE	1004.196721	1012
236282	farmer variety	Tigray	DEBUBAWI	SAMRE	Tangue Milash /Tigray/ Smret 12Km. Hases S.Temben	NA	NA	NA	FALSE	TRUE	NA	NA
236286	farmer variety	Tigray	MISRAKAWI	WUKRO	Near Mainquden 28Km. Mekele - Wukro RD.	NA	NA	NA	FALSE	TRUE	NA	NA
