maxDT_veg,minDT_veg,maxNT_veg,minNT_veg,DTR_veg,minDT_rep,maxNT_rep,minNT_rep,DTR_rep,maxDT_gra,maxNT_gra,minNT_gra,DTR_gra,maxDT_sow2rep,minDT_sow2rep,maxNT_sow2rep,minNT_sow2rep,DTR_sow2rep,maxDT_sow2gra,minDT_sow2gra,maxNT_sow2gra,minNT_sow2gra,DTR_sow2gra,MLDS_veg,MLWS_veg,R10mm_veg,R20mm_veg,SDII_veg,Rx1day_veg,Rx5day_veg,Rtotal_veg,MLDS_rep,Rtotal_rep,MLWS_sow2rep,R10mm_sow2rep,R20mm_sow2rep,SDII_sow2rep,Rx1day_sow2rep,Rx5day_sow2rep,Rtotal_sow2rep,MLDS_sow2gra,MLWS_sow2gra,R10mm_sow2gra,R20mm_sow2gra,SDII_sow2gra,Rx1day_sow2gra,Rx5day_sow2gra,Rtotal_sow2gra,year,lat,lon,id
23.16,18.29,17.87,14.34,4.302753623188406,19.49,17.16,13.72,5.9440740740740745,23.38,15.99,10.74,7.926792452830188,23.16,18.29,17.87,14.2,4.480246913580247,23.38,18.29,17.87,10.74,5.843432835820895,1,57,24,6,10.467462686567165,40.29,132.95,700.24,5,123.37,57,27,7,10.185316455696203,40.29,132.95,803.5600000000001,33,57,27,7,9.200555555555555,40.29,132.95,821.94,2014,11.718192,38.961236,68
29.08,20.53,16.87,13.13,10.321666666666667,24.72,15.55,12.1,12.59423076923077,27.88,14.62,8.97,13.297021276595745,29.08,20.53,16.87,12.1,10.554044943820225,29.08,20.53,16.87,8.97,11.501985294117647,24,15,8,2,9.971463414634146,90.51,128.75,402.66,11,2.98,15,8,2,9.824285714285715,90.51,128.75,404.45,26,15,8,2,8.77061224489796,90.51,128.75,416.15,2015,13.3742,39.0925,70
25.7,17.31,15.37,10.93,8.714871794871796,20.88,14.82,9.26,11.420384615384615,24.69,13.75,5.38,13.572340425531914,25.7,17.31,15.37,10.3,9.116629213483145,25.7,17.31,15.37,5.38,10.656470588235294,10,40,11,9,9.514310344827587,40.28,134.66,545.2,16,41.550000000000004,40,11,9,9.407457627118644,40.28,134.66,547.46,25,40,11,9,9.206557377049181,40.28,134.66,551.33,2013,13.3742,39.0925,71
23.16,18.29,17.87,14.34,4.53013698630137,19.49,16.04,12.92,6.681304347826087,23.38,15.99,9.47,8.174905660377359,23.16,18.29,17.87,13.72,4.765061728395062,23.38,18.29,17.87,9.47,6.113731343283582,1,51,21,6,9.508732394366197,40.29,132.95,674.04,11,102.67,51,22,6,9.323733333333333,40.29,132.95,696.8100000000001,33,51,22,6,8.463411764705882,40.29,132.95,712.38,2014,11.67907,38.68684,72
23.16,18.29,17.87,14.34,4.5202857142857145,19.49,16.71,12.92,6.4408,23.38,15.99,9.47,8.146851851851851,23.16,18.29,17.87,13.72,4.741375,23.38,18.29,17.87,9.47,6.113731343283582,1,51,20,5,9.222205882352942,40.29,132.95,626.03,10,109.49000000000001,51,22,6,9.3230666666666675,40.29,132.95,696.8100000000001,33,51,22,6,8.463411764705882,40.29,132.95,712.38,2014,11.73608,38.75373,73
21.58,16.51,13.38,9.32,7.60448717948718,16.54,11.53,7,8.557083333333335,22.57,10.4,5.53,11.898372093023255,21.58,16.51,13.38,9.32,7.609310344827587,22.57,16.51,13.38,5.53,9.028,1,45,11,0,6.154324324324325,17.89,60.64,453.21,9,70.78,45,12,0,6.202345679012345,17.89,60.64,499.43,45,45,12,0,6.254691358024691,17.89,60.64,499.43,2014,9.798667,39.184056,74
23.16,18.29,17.87,14.2,4.566086956521739,19.49,16.04,11.83,6.970740740740741,23.38,15.99,9.47,8.24,23.16,18.29,17.87,12.92,4.980246913580247,23.38,18.29,17.87,9.47,6.26955223880597,1,46,19,4,8.685970149253732,40.29,114.88,580.88,16,98.43,46,20,4,8.595714285714287,40.29,114.88,599.1,33,46,20,4,7.7711250000000005,40.29,114.88,614.67,2014,11.705448,38.943932,77
23.12,16.64,17.81,13.77,4.409014084507042,18.55,17.7,13.43,5.904166666666667,23.5,16.3,10.77,8.099074074074075,23.12,16.64,17.81,13.43,4.557,23.5,16.64,17.81,10.77,5.984402985074627,9,53,15,8,9.949166666666667,34.57,100.08,592.94,4,138.16,53,18,9,10.254558823529411,34.57,100.08,692.4,28,53,19,9,9.995753424657533,34.57,100.08,719.37,2013,11.717931,38.960184,79
21.58,16.54,13.33,7,7.8764102564102565,18.01,10.34,6.43,10.862916666666667,22.57,10.99,3.78,12.110227272727272,21.58,16.54,13.33,6.43,8.222758620689655,22.57,16.54,13.33,3.78,9.528473282442748,7,45,7,0,5.7832835820895525,17.89,48.13,383.47,23,5.77,45,7,0,5.788955223880597,17.89,48.13,383.47,45,45,7,0,5.792608695652174,17.89,48.13,387.7,2014,9.856306,39.191333,83
26.07,19.55,16.19,13.07,9.557808219178082,20.34,14.63,10.08,10.436538461538461,27.38,13.93,9.06,13.875531914893617,26.07,19.55,16.19,12.32,9.522976190476191,27.38,19.55,16.19,9.06,11.084580152671755,1,68,4,0,4.58625,14.12,38.87,329.3,6,82.77,68,5,0,4.770617283950617,14.12,43.12,384.59,21,68,5,0,4.6658620689655175,14.12,43.12,396.23,2014,8.730583,39.211,84
