id,year,region,lat,lon,type
236,2014,Amhara,11.77979,39.02391,Farm trial
237,2014,Amhara,11.74386,38.74462,Farm trial
239,2014,Amhara,11.710227,38.979377,Farm trial
240,2014,Oromia,8.723444,39.209111,Farm trial
241,2014,Oromia,8.771417,39.273417,Farm trial
242,2015,Tigray,13.3742,39.0925,Farm trial
243,2015,Tigray,13.3742,39.0925,Farm trial
244,2014,Amhara,11.6475,38.92275,Farm trial
245,2014,Oromia,8.967139,39.183306,Farm trial
246,2014,Oromia,8.968889,39.183333,Farm trial
247,2014,Oromia,8.781361,39.238778,Farm trial
249,2013,Amhara,11.67721,38.87021,Farm trial
250,2014,Amhara,11.70798,38.76535,Farm trial
251,2014,Oromia,10.017472,39.242167,Farm trial
252,2014,Oromia,9.792333,39.17675,Farm trial
253,2014,Oromia,9.780333,39.190444,Farm trial
254,2014,Oromia,8.782722,39.240444,Farm trial
255,2015,Oromia,9.043,39.174639,Farm trial
256,2015,Oromia,8.755639,39.249167,Farm trial
257,2014,Oromia,9.872889,39.175,Farm trial
258,2015,Oromia,8.944028,39.175028,Farm trial
259,2014,Oromia,9.935917,39.215472,Farm trial
261,2014,Amhara,11.82904706,38.58916006,Farm trial
262,2014,Oromia,9.930056,39.188444,Farm trial
263,2015,Tigray,13.3742,39.0925,Farm trial
264,2015,Oromia,9.050472,39.167528,Farm trial
265,2014,Amhara,11.735996,38.738573,Farm trial
266,2014,Amhara,11.70623,38.75922,Farm trial
267,2013,Amhara,11.69241,38.7608,Farm trial
269,2014,Amhara,11.64212,38.91624,Farm trial
270,2014,Oromia,9.940528,39.207722,Farm trial
271,2014,Oromia,9.942528,39.206417,Farm trial
274,2013,Tigray,13.3742,39.0925,Farm trial
276,2013,Tigray,13.3742,39.0925,Farm trial
277,2013,Tigray,13.3742,39.0925,Farm trial
278,2015,Tigray,13.3742,39.0925,Farm trial
279,2015,Tigray,13.3742,39.0925,Farm trial
281,2015,Tigray,13.3742,39.0925,Farm trial
283,2014,Amhara,11.82840382,38.58835316,Farm trial
284,2015,Tigray,13.3742,39.0925,Farm trial
287,2014,Amhara,11.718022,38.960685,Farm trial
288,2015,Oromia,8.726778,39.234194,Farm trial
289,2014,Amhara,11.723793,38.743472,Farm trial
291,2015,Tigray,13.3742,39.0925,Farm trial
292,2015,Oromia,8.784167,39.243361,Farm trial
293,2015,Tigray,13.3742,39.0925,Farm trial
294,2015,Oromia,8.786889,39.237417,Farm trial
296,2013,Amhara,11.70695,38.75905,Farm trial
297,2014,Amhara,11.70623,38.75922,Farm trial
298,2014,Oromia,8.946444,39.177778,Farm trial
299,2014,Amhara,11.68008,38.68695,Farm trial
300,2014,Amhara,11.70233,38.75793,Farm trial
301,2014,Amhara,11.716388,38.964003,Farm trial
