id,year,region,zone,district,kebele,lon,lat,planting_date,season
121,2014,Oromia,East Oromia,Gimbichu,Adadi Sembo,39.13472222,9.019444444,16/08/2014,Meher-14
122,2014,Oromia,East Oromia,Gimbichu,Kersa,39.12641667,9.032055556,14/08/2014,Meher-14
124,2014,Oromia,East Oromia,Gimbichu,Kersa,39.12910417,9.045572917,22/08/2014,Meher-14
125,2014,Oromia,East Oromia,Gimbichu,Kersa,39.12910417,9.045572917,22/08/2014,Meher-14
126,2014,Oromia,East Oromia,Gimbichu,Kersa,39.12910417,9.045572917,21/08/2014,Meher-14
127,2014,Oromia,East Oromia,Gimbichu,Kersa,39.12886111,9.04025,01/08/2014,Meher-14
128,2014,Oromia,East Oromia,Gimbichu,Kersa,39.13436111,9.042388889,03/08/2014,Meher-14
129,2014,Oromia,East Oromia,Gimbichu,Kersa,39.12427778,9.065833333,22/08/2014,Meher-14
130,2014,Oromia,East Oromia,Gimbichu,Kersa,39.13452778,9.032972222,24/08/2014,Meher-14
131,2014,Oromia,East Oromia,Gimbichu,Kersa,39.12294444,9.053527778,16/08/2014,Meher-14
132,2014,Oromia,East Oromia,Gimbichu,Kersa,39.12652778,9.054027778,21/08/2014,Meher-14
133,2014,Oromia,East Oromia,Gimbichu,Kersa,39.13491667,9.043527778,14/08/2014,Meher-14
134,2014,Oromia,East Oromia,Lume,Tility,39.22216667,8.745305556,22/07/2014,Meher-14
135,2014,Oromia,East Oromia,Lume,Tility,39.22483333,8.743805556,22/07/2014,Meher-14
136,2014,Oromia,East Oromia,Lume,Tility,39.22463889,8.740472222,22/07/2014,Meher-14
137,2014,Oromia,East Oromia,Lume,Tility,39.22172222,8.739361111,18/07/2014,Meher-14
138,2014,Oromia,East Oromia,Lume,Tility,39.22947222,8.749472222,22/07/2014,Meher-14
139,2014,Oromia,East Oromia,Lume,Tility,39.22405556,8.755722222,26/07/2014,Meher-14
140,2014,Oromia,East Oromia,Lume,Tility,39.22455556,8.752305556,18/07/2014,Meher-14
141,2014,Oromia,East Oromia,Lume,Tility,39.22138889,8.750555556,18/07/2014,Meher-14
143,2014,Oromia,East Oromia,Lume,Tility,39.22591667,8.747305556,24/07/2014,Meher-14
145,2014,Oromia,East Oromia,Lume,Tility,39.21075,8.737638889,22/07/2014,Meher-14
146,2014,Oromia,East Oromia,Lume,Tility,39.2225,8.753111111,21/07/2014,Meher-14
147,2014,Oromia,East Oromia,Lume,Tility,39.22163889,8.752555556,18/07/2014,Meher-14
148,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18377778,9.798666667,29/07/2014,Meher-14
149,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18561111,9.799444444,02/08/2014,Meher-14
150,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.1795,9.798555556,02/08/2014,Meher-14
151,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18358333,9.801333333,01/08/2014,Meher-14
152,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18561111,9.799444444,02/08/2014,Meher-14
153,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18522222,9.798611111,15/08/2014,Meher-14
154,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18913889,9.795472222,01/08/2014,Meher-14
155,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18111111,9.801222222,07/08/2014,Meher-14
156,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.17675,9.792333333,02/08/2014,Meher-14
157,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18405556,9.798666667,01/08/2014,Meher-14
158,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.19888889,9.801333333,01/08/2014,Meher-14
159,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18838889,9.798083333,02/08/2014,Meher-14
161,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.176,9.80025,29/07/2014,Meher-14
162,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18305556,9.799361111,02/08/2014,Meher-14
163,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18333333,9.789583333,14/08/2014,Meher-14
164,2014,Oromia,North Shoa,Seadebir and Wayo,Kubeti,39.18155556,9.799222222,29/07/2014,Meher-14
166,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.19194444,9.893777778,31/07/2014,Meher-14
168,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.20625,9.892555556,29/07/2014,Meher-14
169,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.19291667,9.891111111,31/07/2014,Meher-14
170,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.19986111,9.8955,29/07/2014,Meher-14
171,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.20658333,9.896666667,04/08/2014,Meher-14
172,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.19975,9.895027778,01/08/2014,Meher-14
173,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.2105,9.896,06/08/2014,Meher-14
174,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.19675,9.895972222,29/07/2014,Meher-14
176,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.20213889,9.90275,01/08/2014,Meher-14
178,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.19163889,9.894722222,29/07/2014,Meher-14
179,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.20280556,9.896055556,29/07/2014,Meher-14
180,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.18805556,9.895833333,27/09/2014,Meher-14
181,2014,Oromia,North Shoa,Moret and Jiru,Kusaye,39.19327778,9.894777778,01/08/2014,Meher-14
182,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.17016667,9.874638889,04/08/2014,Meher-14
183,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.17544444,9.8695,06/08/2014,Meher-14
186,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.17019444,9.874694444,04/08/2014,Meher-14
187,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.175,9.872888889,16/08/2014,Meher-14
188,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.17722222,9.865055556,01/08/2014,Meher-14
190,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.16722222,9.897916667,16/08/2014,Meher-14
191,2014,Oromia,North Shoa,Moret and Jiru,Burtilik,39.17405556,9.87125,04/08/2014,Meher-14
