value,model,gain
1.972200142090272,L,-0.06219424010453656
2.162941306583655,L,0.028505562057264067
1.9981692062951766,L,-0.04984562625409705
2.2850140455627734,L,0.0865526716267313
1.9584337220129393,L,-0.06874034451155675
2.24421413818549,L,0.06715180691476297
1.9864482650083204,L,-0.05541907999016682
2.1460658623984017,L,0.020481077918979906
2.0958918304238465,L,-0.0033772999295513806
1.9790447505211894,L,-0.05893954344685337
2.0722325681924603,L,-0.014627574139528421
2.201588185855085,L,0.046882635057734934
2.2974955520497993,L,0.09248778359934229
2.128483714773081,L,0.012120547482711741
2.006028753520103,L,-0.04610831354409273
2.1553922979048163,L,0.024915914298182074
2.025945896063413,L,-0.03663746390812295
2.2871501113827284,L,0.08756839755977297
2.097837866397618,L,-0.0024519355579454283
2.068598036002827,L,-0.016355839516464687
2.0125042585474198,L,-0.0430291301573531
2.286259614837078,L,0.08714495534827771
2.014871259792701,L,-0.041903591549921626
2.2878358808919614,L,0.08789448951260992
2.002854037481943,L,-0.04761793060733022
2.0019377252009076,L,-0.04805364852291005
1.9921476198240136,L,-0.05270896570725225
2.1432372645105633,L,0.01913604435213756
2.064629532899648,L,-0.018242912227239283
1.9629295058964522,L,-0.06660254321481063
2.0681431084959536,L,-0.016572163218697367
2.228966897769664,L,0.059901553971713595
1.96617959400802,L,-0.06505708579081626
2.1631295743809162,L,0.028595085742465276
2.057213954122175,L,-0.021769112404419144
2.0289289188244077,L,-0.03521899938849504
2.0027278630557683,L,-0.047677928120307134
2.0741058681096995,L,-0.013736796669785
2.010657290313161,L,-0.043907386583496466
2.00132339664095,L,-0.04834576941353419
2.114955553130939,L,0.0056877379325861455
1.9673643466629167,L,-0.06449372113015062
2.21825029025494,L,0.0548056734678235
1.9904673359977294,L,-0.05350796161893401
2.3063849233170615,L,0.09671479048285891
1.9982947407870195,L,-0.049785933037874486
2.0346781544908934,L,-0.032485166139039845
2.2925449442125805,L,0.0901337078411859
2.3047294224651402,L,0.09592757918451755
2.0568043186581315,L,-0.021963899175517443
1.9989095640817591,L,-0.04949357689469247
2.2494349645499154,L,0.06963437495209357
2.229769230568487,L,0.06028307322223547
2.2936183332283218,L,0.09064411770278546
2.3228563103157964,L,0.104547140390566
2.3034306986399913,L,0.09531001981123444
2.1337738320598123,L,0.014636064217621536
2.058404597618924,L,-0.021202946574996884
2.0465367720516445,L,-0.02684624561797999
2.140140171961375,L,0.017663338225831327
2.1378014774419705,L,0.016551259819524766
2.071414968401234,L,-0.01501635303530946
2.310816837927298,L,0.09882222114374484
2.188797307353598,L,0.04080041283453584
2.000383031539281,L,-0.048792924745251764
2.1103130936318304,L,0.003480190551653939
2.293002026508483,L,0.09035105617247097
2.1269525785046426,L,0.011392473094579803
2.290715852579812,L,0.08926395196196335
2.175277541397067,L,0.034371595537608046
2.1879209743876697,L,0.040383705581811036
2.276208865531572,L,0.0823656987257837
2.139952247725124,L,0.0175739779081745
2.318779442372756,L,0.1026085388471829
2.073623961885714,L,-0.013965949088415308
2.1320035563750133,L,0.013794276055063115
2.085747340219565,L,-0.008201131518314586
2.1863348964104192,L,0.03962950572604362
2.228773723318556,L,0.05980969711142481
