ID	DNA_CODE	SPECIES	TYPE
236282	170ET_D	durum_wheat	landrace
236286	171ET_D	durum_wheat	landrace
236288	403ET_D	durum_wheat	landrace
236291	172ET_D	durum_wheat	landrace
236295	173ET_B	bread_wheat	landrace
236296	174ET_D	durum_wheat	landrace
236297	286ET_D	durum_wheat	landrace
236300	175ET_D	durum_wheat	landrace
236301	176ET_D	durum_wheat	landrace
236308	NA	NA	landrace
236313	177ET_D	durum_wheat	landrace
236982	179ET_D	durum_wheat	landrace
236984	400ET_D	durum_wheat	landrace
236986	180ET_D	durum_wheat	landrace
236987	299ET_D	durum_wheat	landrace
236988	NA	NA	landrace
236989	181ET_B	bread_wheat	landrace
238117	182ET_B	bread_wheat	landrace
238119	183ET_B	bread_wheat	landrace
238120	450ET_D	durum_wheat	landrace
238121	184ET_B	bread_wheat	landrace
238122	495NET_B	bread_wheat	landrace
238125	185ET_B	bread_wheat	landrace
238126	186ET_B	bread_wheat	landrace
238130	389ET_D	durum_wheat	landrace
238133	408ET_D	durum_wheat	landrace
238139	E507ET_D	durum_wheat	landrace
238340	356ET_D	durum_wheat	landrace
238498	452ET_D	durum_wheat	landrace
238507	355ET_D	durum_wheat	landrace
238513	405ET_D	durum_wheat	landrace
238516	435ET_D	durum_wheat	landrace
238519	190ET_D	durum_wheat	landrace
238522	191ET_D	durum_wheat	landrace
238528	192ET_D	durum_wheat	landrace
238531	311ET_D	durum_wheat	landrace
238537	NA	NA	landrace
238540	E508ET_D	durum_wheat	landrace
238546	346ET_D	durum_wheat	landrace
238549	194ET_B	bread_wheat	landrace
238561	196ET_D	durum_wheat	landrace
238567	E509ET_D	durum_wheat	landrace
238570	427ET_D	durum_wheat	landrace
238573	326ET_D	durum_wheat	landrace
238576	197ET_D	durum_wheat	landrace
238579	328ET_D	durum_wheat	landrace
248478	198ET_D	durum_wheat	landrace
204470b	201ET_D	durum_wheat	landrace
204493a	202ET_D	durum_wheat	landrace
204562a	204ET_D	durum_wheat	landrace
206518a	206ET_D	durum_wheat	landrace
206548bl	021ET_B	bread_wheat	landrace
206551a	208ET_D	durum_wheat	landrace
206551b	NA	NA	landrace
208131a	210ET_D	durum_wheat	landrace
208151a	213ET_B	bread_wheat	landrace
208151b	214ET_B	bread_wheat	landrace
208203a	217ET_D	durum_wheat	landrace
208215a	219ET_D	durum_wheat	landrace
208234a	222ET_D	durum_wheat	landrace
208276a	229ET_D	durum_wheat	landrace
208332a	068ET_D	durum_wheat	landrace
208336bl	E510ET_D	durum_wheat	landrace
208373a	231ET_D	durum_wheat	landrace
208383b	234ET_D	durum_wheat	landrace
208746a	235ET_D	durum_wheat	landrace
210798b	238ET_D	durum_wheat	landrace
210805a	239ET_D	durum_wheat	landrace
210806a	240ET_D	durum_wheat	landrace
210806b	241ET_D	durum_wheat	landrace
210812a	242ET_D	durum_wheat	landrace
210816a	395ET_D	durum_wheat	landrace
210816b	244ET_D	durum_wheat	landrace
210817b	246ET_D	durum_wheat	landrace
210820a	249ET_D	durum_wheat	landrace
210823a	250ET_B	bread_wheat	landrace
210823b	251ET_B	bread_wheat	landrace
210823c	252ET_B	bread_wheat	landrace
215268bl	254ET_D	durum_wheat	landrace
216472br	E512ET_B	bread_wheat	landrace
216628a	255ET_D	durum_wheat	landrace
216628b	256ET_B	bread_wheat	landrace
222197a	097ET_D	durum_wheat	landrace
222327a	E513ET_B	bread_wheat	landrace
222327b	376ET_B	bread_wheat	landrace
222441a	257ET_D	durum_wheat	landrace
222499a	119ET_B	bread_wheat	landrace
222499b	258ET_D	durum_wheat	landrace
222537a	259ET_D	durum_wheat	landrace
222707a	129ET_D	durum_wheat	landrace
222787b	262ET_D	durum_wheat	landrace
222816b	264ET_B	bread_wheat	landrace
226834a	265ET_D	durum_wheat	landrace
226834b	266ET_D	durum_wheat	landrace
226973a	269ET_B	bread_wheat	landrace
226973b	270ET_D	durum_wheat	landrace
227029b	NA	NA	landrace
227056b	272ET_D	durum_wheat	landrace
228260a	274ET_D	durum_wheat	landrace
228593b	276ET_D	durum_wheat	landrace
228763a	277ET_D	durum_wheat	landrace
229251b	NA	NA	landrace
231547a	281ET_D	durum_wheat	landrace
231591a	283ET_D	durum_wheat	landrace
236303a	287ET_D	durum_wheat	landrace
236309a	290ET_D	durum_wheat	landrace
236312a	292ET_D	durum_wheat	landrace
236314a	294ET_D	durum_wheat	landrace
236979a	295ET_D	durum_wheat	landrace
236985a	297ET_D	durum_wheat	landrace
238124b	301ET_B	bread_wheat	landrace
238132a	NA	NA	landrace
238132b	303ET_D	durum_wheat	landrace
238137a	305ET_D	durum_wheat	landrace
238492a	188ET_B	bread_wheat	landrace
238492b	189ET_D	durum_wheat	landrace
238498br	E514ET_B	bread_wheat	landrace
238504a	306ET_D	durum_wheat	landrace
238504b	307ET_B	bread_wheat	landrace
238504c	308ET_D	durum_wheat	landrace
238525b	310ET_D	durum_wheat	landrace
238540c	316ET_D	durum_wheat	landrace
238540d	317ET_D	durum_wheat	landrace
238552a	319ET_D	durum_wheat	landrace
238555a	322ET_D	durum_wheat	landrace
238564a	324ET_D	durum_wheat	landrace
239081a	329ET_D	durum_wheat	landrace
5578a	333ET_D	durum_wheat	landrace
6856a	335ET_D	durum_wheat	landrace
6856b	336ET_D	durum_wheat	landrace
7961a	337ET_D	durum_wheat	landrace
8034a	010ET_B	bread_wheat	landrace
8034b	011ET_D	durum_wheat	landrace
8210a	015ET_D	durum_wheat	landrace
8333a	339ET_D	durum_wheat	landrace
arendato	469ET_D	durum_wheat	improved
asassa	341ET_D	durum_wheat	improved
bichena	462ET_D	durum_wheat	improved
boohai	470ET_D	durum_wheat	improved
denbi	459ET_D	durum_wheat	improved
dinknesh	NA	NA	improved
flakit	487ET_B	bread_wheat	improved
foka	460ET_D	durum_wheat	improved
gerardo	471ET_D	durum_wheat	improved
gg2	475ET_D	durum_wheat	improved
ginchi	464ET_D	durum_wheat	improved
hitosa	390ET_D	durum_wheat	improved
kilinto	466ET_D	durum_wheat	improved
ld-357	461ET_D	durum_wheat	improved
mangudo	463ET_D	durum_wheat	improved
megenagna	483ET_D	durum_wheat	improved
metaya	484ET_D	durum_wheat	improved
mossobo	485ET_D	durum_wheat	improved
mukiye	472ET_D	durum_wheat	improved
quamy	343ET_D	durum_wheat	improved
robe	465ET_D	durum_wheat	improved
selam	482ET_D	durum_wheat	improved
tob-66	468ET_D	durum_wheat	improved
tossa	E517ET_D	durum_wheat	improved
ude	344ET_D	durum_wheat	improved
werer	473ET_D	durum_wheat	improved
workaye	E518ET_B	bread_wheat	improved
yerer	474ET_D	durum_wheat	improved
mediterranean_dw_1	IT01_D	durum_wheat	improved
mediterranean_dw_2	IT02_D	durum_wheat	improved
mediterranean_dw_3	IT03_D	durum_wheat	improved
mediterranean_dw_4	IT04_D	durum_wheat	improved
mediterranean_dw_5	IT05_D	durum_wheat	improved
mediterranean_dw_6	IT06_D	durum_wheat	improved
mediterranean_dw_7	IT07_D	durum_wheat	improved
mediterranean_dw_8	IT08_D	durum_wheat	improved
mediterranean_dw_9	IT09_D	durum_wheat	improved
mediterranean_dw_10	IT10_D	durum_wheat	improved
mediterranean_dw_11	IT11_D	durum_wheat	improved
mediterranean_dw_12	IT12_D	durum_wheat	improved
mediterranean_dw_13	IT13_D	durum_wheat	improved
mediterranean_dw_14	IT14_D	durum_wheat	improved
mediterranean_dw_15	IT15_D	durum_wheat	improved
mediterranean_dw_16	IT16_B	durum_wheat	improved
mediterranean_dw_17	IT17_D	durum_wheat	improved
