sample,kendallTau,run,trait,n_plots
0.25,0.24691906198656505,87,OA,85
0.25,0.263353217601275,88,OA,85
0.25,0.2095959012660974,89,OA,85
0.25,0.2592212879679743,90,OA,85
0.25,0.19928158074745994,91,OA,85
0.25,0.26241473364133117,92,OA,85
0.25,0.26317475298856235,93,OA,85
0.25,0.23678240523610677,94,OA,85
0.25,0.19512146080937603,95,OA,85
0.25,0.27508363571364525,96,OA,85
0.25,0.2654395305714709,97,OA,85
0.25,0.22098576262088374,98,OA,85
0.25,0.26771059017904614,99,OA,85
0.25,0.19744017971120562,100,OA,85
0.5,0.24656313182883316,1,OA,56
0.5,0.21006168470793782,2,OA,56
0.5,0.26798655113846026,3,OA,56
0.5,0.19910067011380214,4,OA,56
0.5,0.1807613831219353,5,OA,56
0.5,0.23989089247248788,6,OA,56
0.5,0.27217928699555743,7,OA,56
0.5,0.18616625582113586,8,OA,56
0.5,0.20511420728166346,9,OA,56
0.5,0.1779426123721723,10,OA,56
0.5,0.2145838166415522,11,OA,56
0.5,0.2736399413545079,12,OA,56
0.5,0.20647048948481342,13,OA,56
0.5,0.27133120689030216,14,OA,56
0.5,0.26239905481309705,15,OA,56
0.5,0.2076246692759873,16,OA,56
0.5,0.20191183707597074,17,OA,56
0.5,0.1996328762664435,18,OA,56
0.5,0.19025775873849016,19,OA,56
0.5,0.17721013177116984,20,OA,56
0.5,0.18459960269133238,21,OA,56
0.5,0.17496686201701894,22,OA,56
0.5,0.2937410007795568,23,OA,56
0.5,0.25338341930691055,24,OA,56
0.5,0.1625465685231046,25,OA,56
0.5,0.2024939061776669,26,OA,56
0.5,0.19988886114403245,27,OA,56
0.5,0.2640970323093863,28,OA,56
0.5,0.2531831446994685,29,OA,56
0.5,0.2882739025255356,30,OA,56
0.5,0.2001544931075869,31,OA,56
0.5,0.15897290629872257,32,OA,56
0.5,0.20715384936905326,33,OA,56
0.5,0.20469441472096114,34,OA,56
0.5,0.21397663991858756,35,OA,56
0.5,0.24577532214225278,36,OA,56
0.5,0.2088816084886181,37,OA,56
0.5,0.2536653605860104,38,OA,56
0.5,0.20987179338239545,39,OA,56
0.5,0.18805416286248938,40,OA,56
0.5,0.2603109556098961,41,OA,56
0.5,0.19330309104945284,42,OA,56
0.5,0.17365293118591452,43,OA,56
0.5,0.2240496883418044,44,OA,56
0.5,0.1954859969113382,45,OA,56
0.5,0.22456497845444987,46,OA,56
0.5,0.18591587060412912,47,OA,56
0.5,0.2140427850962001,48,OA,56
0.5,0.2007103810325816,49,OA,56
0.5,0.18258650742611215,50,OA,56
0.5,0.2118938392221993,51,OA,56
0.5,0.18769272454098213,52,OA,56
0.5,0.15596250620073895,53,OA,56
0.5,0.20128250781402163,54,OA,56
0.5,0.17187116677293865,55,OA,56
0.5,0.23729493038385335,56,OA,56
0.5,0.21016783546004955,57,OA,56
0.5,0.20713542824946168,58,OA,56
0.5,0.19697005341152285,59,OA,56
0.5,0.235326161038147,60,OA,56
0.5,0.25566354917457274,61,OA,56
0.5,0.22027436671115505,62,OA,56
0.5,0.179764348216056,63,OA,56
0.5,0.17876571461885588,64,OA,56
0.5,0.2688096048600238,65,OA,56
0.5,0.21260568706501948,66,OA,56
0.5,0.2307378783241575,67,OA,56
0.5,0.25688538164499825,68,OA,56
0.5,0.24734883420975606,69,OA,56
0.5,0.14978007955798547,70,OA,56
0.5,0.24564022003806774,71,OA,56
0.5,0.2096020422551711,72,OA,56
0.5,0.17713132366398324,73,OA,56
0.5,0.20459936422376293,74,OA,56
0.5,0.2641375121700424,75,OA,56
0.5,0.1670074196849391,76,OA,56
0.5,0.21810939957386288,77,OA,56
0.5,0.19032553526341717,78,OA,56
0.5,0.2235086912974061,79,OA,56
0.5,0.18790440383544596,80,OA,56
0.5,0.19691831117066014,81,OA,56
0.5,0.15927763149379998,82,OA,56
0.5,0.1913129066611125,83,OA,56
0.5,0.21155287211178747,84,OA,56
0.5,0.18871192114299637,85,OA,56
0.5,0.25121619883696283,86,OA,56
0.5,0.21389325989395788,87,OA,56
0.5,0.20022066073761657,88,OA,56
0.5,0.28009333686914345,89,OA,56
0.5,0.19241194241867324,90,OA,56
0.5,0.2001544931075869,91,OA,56
0.5,0.21824499679452505,92,OA,56
0.5,0.20217780058766469,93,OA,56
0.5,0.22642855660629532,94,OA,56
0.5,0.1545522197542454,95,OA,56
0.5,0.2612842842799203,96,OA,56
0.5,0.24760866000843712,97,OA,56
0.5,0.20244205045624492,98,OA,56
0.5,0.16720182992099225,99,OA,56
0.5,0.24835142584704123,100,OA,56
0.75,0.26366478480909855,1,OA,28
0.75,0.25563296307466715,2,OA,28
0.75,0.19412395060320875,3,OA,28
0.75,0.23807252892662295,4,OA,28
0.75,0.1809046761978423,5,OA,28
0.75,0.1967937372228008,6,OA,28
0.75,0.24064323497072937,7,OA,28
0.75,0.2422464505247393,8,OA,28
0.75,0.22526418699618753,9,OA,28
0.75,0.2001630183551684,10,OA,28
0.75,0.18264913390214707,11,OA,28
0.75,0.20898836884648428,12,OA,28
0.75,0.22468881576927086,13,OA,28
0.75,0.2445752971372307,14,OA,28
0.75,0.19776606648381406,15,OA,28
0.75,0.2266620393674036,16,OA,28
0.75,0.15699228059524137,17,OA,28
0.75,0.2616647456442386,18,OA,28
0.75,0.13742010018710024,19,OA,28
0.75,0.1653442131502622,20,OA,28
0.75,0.19125178219439146,21,OA,28
0.75,0.15481877700743452,22,OA,28
0.75,0.23206603906261142,23,OA,28
0.75,0.24990959047480757,24,OA,28
0.75,0.2147806003679879,25,OA,28
0.75,0.2143501702306296,26,OA,28
0.75,0.21291228161551104,27,OA,28
0.75,0.14311161758382018,28,OA,28
0.75,0.22286014599394177,29,OA,28
0.75,0.19680999996120543,30,OA,28
0.75,0.20572950444246121,31,OA,28
0.75,0.19130238127197724,32,OA,28
0.75,0.22664410954311454,33,OA,28
0.75,0.18368698780776904,34,OA,28
0.75,0.21517350989689238,35,OA,28
0.75,0.20659843704197464,36,OA,28
0.75,0.1720719155561612,37,OA,28
0.75,0.24863023099381193,38,OA,28
0.75,0.235963103339459,39,OA,28
0.75,0.25758084141318505,40,OA,28
0.75,0.24060155102135783,41,OA,28
0.75,0.23476307626124504,42,OA,28
0.75,0.19791348548551146,43,OA,28
0.75,0.17271702198553307,44,OA,28
0.75,0.20855001571887066,45,OA,28
0.75,0.2363552771551434,46,OA,28
0.75,0.18049361310774276,47,OA,28
0.75,0.20642930713005653,48,OA,28
0.75,0.18467751415228675,49,OA,28
0.75,0.21713752148468124,50,OA,28
0.75,0.20491686725918268,51,OA,28
0.75,0.21181333618765666,52,OA,28
0.75,0.20412089504516737,53,OA,28
0.75,0.28159403454878634,54,OA,28
0.75,0.2430761031490763,55,OA,28
0.75,0.16790980082718615,56,OA,28
0.75,0.14247956970133738,57,OA,28
0.75,0.16167284962730735,58,OA,28
0.75,0.2349932445837671,59,OA,28
0.75,0.1789577022044742,60,OA,28
0.75,0.19303680570651516,61,OA,28
0.75,0.1319314277010364,62,OA,28
0.75,0.24397866583819036,63,OA,28
0.75,0.16617059389718872,64,OA,28
0.75,0.18801579111671599,65,OA,28
0.75,0.18009847329992598,66,OA,28
0.75,0.21515155473962327,67,OA,28
0.75,0.24060279775666366,68,OA,28
0.75,0.17409488674602372,69,OA,28
0.75,0.24853007604258281,70,OA,28
0.75,0.1415082039740592,71,OA,28
0.75,0.21106940496818685,72,OA,28
0.75,0.18376398201152958,73,OA,28
0.75,0.24020421066869196,74,OA,28
0.75,0.188863273420639,75,OA,28
0.75,0.25168953107423453,76,OA,28
0.75,0.16408940624476728,77,OA,28
0.75,0.2218164732896622,78,OA,28
0.75,0.2278866515549816,79,OA,28
0.75,0.11356019736852141,80,OA,28
0.75,0.16539337311570676,81,OA,28
0.75,0.2622554712917335,82,OA,28
0.75,0.1979109683303337,83,OA,28
0.75,0.20089597912208082,84,OA,28
0.75,0.2408766305026035,85,OA,28
0.75,0.24005739382739677,86,OA,28
0.75,0.26088707685198925,87,OA,28
0.75,0.26959172555029387,88,OA,28
0.75,0.16057849136792696,89,OA,28
0.75,0.24246912167038703,90,OA,28
0.75,0.23902494070850266,91,OA,28
0.75,0.185767205574815,92,OA,28
0.75,0.20553162593346858,93,OA,28
0.75,0.1689568223142065,94,OA,28
0.75,0.25841511040591775,95,OA,28
0.75,0.22809236529105084,96,OA,28
0.75,0.20439862265345282,97,OA,28
0.75,0.18587725041117178,98,OA,28
0.75,0.2720744495590223,99,OA,28
0.75,0.19169579131507414,100,OA,28
0.85,0.306617621084529,1,OA,17
0.85,0.17378211950734976,2,OA,17
0.85,0.2157192979285719,3,OA,17
0.85,0.29961581386137015,4,OA,17
0.85,0.19236272477559005,5,OA,17
0.85,0.2343069774251278,6,OA,17
0.85,0.21665832517832556,7,OA,17
0.85,0.12387189460350874,8,OA,17
0.85,0.2379099092710569,9,OA,17
0.85,0.19481056800777058,10,OA,17
0.85,0.145779110629878,11,OA,17
0.85,0.1007052611943303,12,OA,17
0.85,0.08963509945293197,13,OA,17
0.85,0.22553369460342118,14,OA,17
0.85,0.20690113810654465,15,OA,17
0.85,0.08915061891385752,16,OA,17
0.85,0.21179977347638038,17,OA,17
0.85,0.1392908366625668,18,OA,17
0.85,0.16282036854238605,19,OA,17
0.85,0.16724329209207922,20,OA,17
0.85,0.23681430877448587,21,OA,17
0.85,0.265340193601112,22,OA,17
0.85,0.18107885225387368,23,OA,17
0.85,0.2445904611207444,24,OA,17
0.85,0.14116936259356702,25,OA,17
0.85,0.19217767964483862,26,OA,17
0.85,0.22128364293661296,27,OA,17
0.85,0.2940592054252912,28,OA,17
0.85,0.23303626613655354,29,OA,17
0.85,0.19834672219121657,30,OA,17
0.85,0.19279302732750464,31,OA,17
0.85,0.11419970798649891,32,OA,17
0.85,0.1894165245356005,33,OA,17
0.85,0.15589334587705972,34,OA,17
0.85,0.1152809727334368,35,OA,17
0.85,0.13542732913738897,36,OA,17
0.85,0.15667204999660272,37,OA,17
0.85,0.19083929767630614,38,OA,17
0.85,0.2055878033450073,39,OA,17
0.85,0.19528140185938292,40,OA,17
0.85,0.20577979148884967,41,OA,17
0.85,0.23477823758852806,42,OA,17
0.85,0.14134787161361,43,OA,17
0.85,0.2075469936578802,44,OA,17
0.85,0.14673567469456572,45,OA,17
0.85,0.11195275978813196,46,OA,17
0.85,0.19672031151639138,47,OA,17
0.85,0.22943542331371236,48,OA,17
0.85,0.22771197955496575,49,OA,17
0.85,0.15449507150563438,50,OA,17
0.85,0.18901573465897412,51,OA,17
0.85,0.2660778836723461,52,OA,17
0.85,0.298026699214457,53,OA,17
0.85,0.19969096106024403,54,OA,17
0.85,0.23134665951737798,55,OA,17
0.85,0.19279302732750464,56,OA,17
0.85,0.06757646754318057,57,OA,17
0.85,0.12330421405639916,58,OA,17
0.85,0.1876149011477243,59,OA,17
0.85,0.23447298810077855,60,OA,17
0.85,0.15846810767154718,61,OA,17
0.85,0.2171547017555165,62,OA,17
0.85,0.15912556715846835,63,OA,17
0.85,0.14611838056572202,64,OA,17
0.85,0.17934377757139083,65,OA,17
0.85,0.14408276095065758,66,OA,17
0.85,0.13242426560723486,67,OA,17
0.85,0.2316718758633775,68,OA,17
0.85,0.27631595809973497,69,OA,17
0.85,0.12643140869389036,70,OA,17
0.85,0.22234903609787052,71,OA,17
0.85,0.2388985253173298,72,OA,17
0.85,0.16849603524072115,73,OA,17
0.85,0.26846447531198164,74,OA,17
0.85,0.18316352668628488,75,OA,17
0.85,0.1726963415437076,76,OA,17
0.85,0.25442164147044044,77,OA,17
0.85,0.17482778485839884,78,OA,17
0.85,0.24161272223156194,79,OA,17
0.85,0.252459072878184,80,OA,17
0.85,0.1364040181097449,81,OA,17
0.85,0.23097250295015817,82,OA,17
0.85,0.23844256888674903,83,OA,17
0.85,0.1522761374832035,84,OA,17
0.85,0.17360598539269811,85,OA,17
0.85,0.11301775309716448,86,OA,17
0.85,0.14879037928294128,87,OA,17
0.85,0.15643806327107937,88,OA,17
0.85,0.2894080459582733,89,OA,17
0.85,0.28370849413947546,90,OA,17
0.85,0.25368326607349256,91,OA,17
0.85,0.19722364720921712,92,OA,17
0.85,0.1776560917561817,93,OA,17
0.85,0.2662337278008068,94,OA,17
0.85,0.25616691751666576,95,OA,17
0.85,0.14938434501164652,96,OA,17
0.85,0.23155340972264157,97,OA,17
0.85,0.24640489896688378,98,OA,17
0.85,0.19833025117489628,99,OA,17
0.85,0.22456253203871748,100,OA,17
0.95,0.24069972713979826,1,OA,5
0.95,0.127561388868044,2,OA,5
0.95,0.23732177193505244,3,OA,5
0.95,0.2028288330666399,4,OA,5
0.95,0.13686847229517943,5,OA,5
0.95,0.05339620683617356,6,OA,5
0.95,0.11441562742230944,7,OA,5
0.95,0.16208599629940193,8,OA,5
0.95,0.18797434394772036,9,OA,5
0.95,0.21648069460542935,10,OA,5
0.95,0.2193920498587443,11,OA,5
0.95,0.22411165235168154,12,OA,5
0.95,0.06054507663841546,13,OA,5
0.95,0.09358229408897605,14,OA,5
0.95,0.17530066355926077,15,OA,5
0.95,0,16,OA,5
0.95,0.3182541012385596,17,OA,5
0.95,0.2784565470832958,18,OA,5
0.95,0.19040361125702523,19,OA,5
0.95,0.14225889843221212,20,OA,5
0.95,0.2241116523516815,21,OA,5
0.95,0.257440552247829,22,OA,5
0.95,0,23,OA,5
0.95,0.22849584302257084,24,OA,5
0.95,0.21595654708329576,25,OA,5
0.95,0.006674525854521672,26,OA,5
0.95,0,27,OA,5
0.95,0.19326182333925207,28,OA,5
0.95,0.19154877884884142,29,OA,5
0.95,0.2374607040607249,30,OA,5
0.95,0.14630767728105362,31,OA,5
0.95,0.22654091966098613,32,OA,5
0.95,0.2532390230790731,33,OA,5
0.95,0.21157235641240646,34,OA,5
0.95,0.158176149576233,35,OA,5
0.95,0.2197274616807922,36,OA,5
0.95,0.17853513896184592,37,OA,5
0.95,0.22687633148303427,38,OA,5
0.95,0.002764679131352769,39,OA,5
0.95,0.23240568974573977,40,OA,5
0.95,0.2641588074788116,41,OA,5
0.95,0.21710171467511213,42,OA,5
0.95,0.15331761495762328,43,OA,5
0.95,0.1038312548446189,44,OA,5
0.95,0.23941562742230937,45,OA,5
0.95,0.14711743305082198,46,OA,5
0.95,0.19693920498587442,47,OA,5
0.95,0.29605085733755593,48,OA,5
0.95,0.1699056897457398,49,OA,5
0.95,0.21710171467511188,50,OA,5
0.95,0.14158807478811633,51,OA,5
0.95,0.26710906978164284,52,OA,5
0.95,0.31297434394772033,53,OA,5
0.95,0.19350370221042573,54,OA,5
0.95,0.03507018577043975,55,OA,5
0.95,0.10830897846638214,56,OA,5
0.95,0.27993712649715985,57,OA,5
0.95,0.14630767728105387,58,OA,5
0.95,0.18682917635590418,59,OA,5
0.95,0.11799006232343034,60,OA,5
0.95,0.13120018190680147,61,OA,5
0.95,0.0912919589053437,62,OA,5
0.95,0.2563391140324738,63,OA,5
0.95,0,64,OA,5
0.95,0.3815621653143932,65,OA,5
0.95,0.2501389321256725,66,OA,5
0.95,0.09944706417372963,67,OA,5
0.95,0.17010216944211531,68,OA,5
0.95,0.22654091966098616,69,OA,5
0.95,0.2633490517090433,70,OA,5
0.95,0.062164588177952014,71,OA,5
0.95,0.24251571837571,72,OA,5
0.95,0,73,OA,5
0.95,0.151027279773991,74,OA,5
0.95,0.23366041390580952,75,OA,5
0.95,0.13120018190680147,76,OA,5
0.95,0.1634276435875934,77,OA,5
0.95,0.1300550143149852,78,OA,5
0.95,0,79,OA,5
0.95,0.2755529358262705,80,OA,5
0.95,0,81,OA,5
0.95,0,82,OA,5
0.95,0,83,OA,5
0.95,0.13686847229517912,84,OA,5
0.95,0.23274110156778766,85,OA,5
0.95,0.14387840997174886,86,OA,5
0.95,0.18878409971748858,87,OA,5
0.95,0,88,OA,5
0.95,0.30859015327683104,89,OA,5
0.95,0.13605871652541107,90,OA,5
0.95,0.17934489473161408,91,OA,5
0.95,0.19269394644065757,92,OA,5
0.95,0.19807347605279357,93,OA,5
0.95,0.08104299814970102,94,OA,5
0.95,0.13586831102698776,95,OA,5
0.95,0,96,OA,5
0.95,0.16485067543075466,97,OA,5
0.95,0.10450207848871453,98,OA,5
0.95,0.12189990904659934,99,OA,5
0.95,0,100,OA,5
0.25,0.10169136010512199,1,GY,85
0.25,0.08373697334738885,2,GY,85
0.25,0.06487170219133236,3,GY,85
0.25,0.08432257507651134,4,GY,85
0.25,0.07556056801199135,5,GY,85
0.25,0.08966089876073749,6,GY,85
0.25,0.10090442703257932,7,GY,85
0.25,0.09891759402734804,8,GY,85
0.25,0.08971666917471102,9,GY,85
0.25,0.07262905930569329,10,GY,85
0.25,0.0872926828551828,11,GY,85
0.25,0.05856672057954309,12,GY,85
0.25,0.1149793761435994,13,GY,85
0.25,0.06541156644117961,14,GY,85
0.25,0.10574532255387775,15,GY,85
0.25,0.1116636130771041,16,GY,85
0.25,0.09904669339610243,17,GY,85
0.25,0.09509275844123026,18,GY,85
0.25,0.06555788996507995,19,GY,85
0.25,0.08254395774563575,20,GY,85
0.25,0.09322287288402532,21,GY,85
0.25,0.08642599085875848,22,GY,85
0.25,0.08933594991446013,23,GY,85
0.25,0.08778192670625555,24,GY,85
0.25,0.09714971127654197,25,GY,85
0.25,0.05617474574591245,26,GY,85
0.25,0.08319237259130853,27,GY,85
0.25,0.07183444703815164,28,GY,85
0.25,0.11673709759352953,29,GY,85
0.25,0.09516824353932506,30,GY,85
0.25,0.07863408567255498,31,GY,85
0.25,0.09669689760210806,32,GY,85
0.25,0.07093161183055491,33,GY,85
0.25,0.05610075058327197,34,GY,85
0.25,0.08009864622107636,35,GY,85
0.25,0.08662206174310676,36,GY,85
0.25,0.09715413953918041,37,GY,85
0.25,0.08939295141475087,38,GY,85
0.25,0.08506677956761523,39,GY,85
0.25,0.09448167633992856,40,GY,85
0.25,0.11153099641455587,41,GY,85
0.25,0.12202659717595814,42,GY,85
0.25,0.08746889142460097,43,GY,85
0.25,0.09413616840027145,44,GY,85
0.25,0.07775640330558069,45,GY,85
0.25,0.12466102410306143,46,GY,85
0.25,0.07977533641066673,47,GY,85
0.25,0.11949624156769151,48,GY,85
0.25,0.06254504893319379,49,GY,85
0.25,0.11548664180629889,50,GY,85
0.25,0.1067907858964035,51,GY,85
0.25,0.07410521527508364,52,GY,85
0.25,0.11258518897691763,53,GY,85
0.25,0.11780145345050178,54,GY,85
0.25,0.08517084184134802,55,GY,85
0.25,0.12924367030562722,56,GY,85
0.25,0.10488005368820014,57,GY,85
0.25,0.09455885621630931,58,GY,85
0.25,0.11810399181745564,59,GY,85
0.25,0.1333274926928636,60,GY,85
0.25,0.08513410997605195,61,GY,85
0.25,0.07731228495319747,62,GY,85
0.25,0.09392573791116057,63,GY,85
0.25,0.08859835065740317,64,GY,85
0.25,0.089625637184626,65,GY,85
0.25,0.08878099778183295,66,GY,85
0.25,0.12995373856151937,67,GY,85
0.25,0.08090417203586929,68,GY,85
0.25,0.10502334186992533,69,GY,85
0.25,0.07019099546337448,70,GY,85
0.25,0.09445581431357661,71,GY,85
0.25,0.07757028595118076,72,GY,85
0.25,0.10321503968419869,73,GY,85
0.25,0.08404706025336364,74,GY,85
0.25,0.09602437283711884,75,GY,85
0.25,0.11798046287684355,76,GY,85
0.25,0.12114891632563823,77,GY,85
0.25,0.08319237259130853,78,GY,85
0.25,0.09403381317848236,79,GY,85
0.25,0.10951986092808257,80,GY,85
0.25,0.10454222019601088,81,GY,85
0.25,0.09779296169092777,82,GY,85
0.25,0.11522034393617239,83,GY,85
0.25,0.09869902843785477,84,GY,85
0.25,0.08713855576834503,85,GY,85
0.25,0.11042859822716665,86,GY,85
0.25,0.08939628235720463,87,GY,85
0.25,0.08952639773866643,88,GY,85
0.25,0.08310775773324851,89,GY,85
0.25,0.09359204689784796,90,GY,85
0.25,0.11003231021251006,91,GY,85
0.25,0.05444055987406538,92,GY,85
0.25,0.10175147064486942,93,GY,85
0.25,0.08892905237956508,94,GY,85
0.25,0.08791489908041807,95,GY,85
0.25,0.09451061875033899,96,GY,85
0.25,0.13079501276048078,97,GY,85
0.25,0.10482149576017423,98,GY,85
0.25,0.09853659255231749,99,GY,85
0.25,0.08042752338182707,100,GY,85
0.5,0.11342690180429454,1,GY,56
0.5,0.09734030697227163,2,GY,56
0.5,0.09961215794950187,3,GY,56
0.5,0.10907670878709408,4,GY,56
0.5,0.11289917008985026,5,GY,56
0.5,0.11694063199365534,6,GY,56
0.5,0.10866956837721188,7,GY,56
0.5,0.1618378278601974,8,GY,56
0.5,0.07339124125400277,9,GY,56
0.5,0.136851137179194,10,GY,56
0.5,0.08578373199698287,11,GY,56
0.5,0.10995703597402423,12,GY,56
0.5,0.10553023172315174,13,GY,56
0.5,0.13477188643940904,14,GY,56
0.5,0.1036520259466696,15,GY,56
0.5,0.10712502581913307,16,GY,56
0.5,0.1340652527098301,17,GY,56
0.5,0.14489057186796345,18,GY,56
0.5,0.09239535700789181,19,GY,56
0.5,0.11548118977299342,20,GY,56
0.5,0.07934991026683709,21,GY,56
0.5,0.07232568303071647,22,GY,56
0.5,0.11330120388851873,23,GY,56
0.5,0.12029161977383913,24,GY,56
0.5,0.08614426206621792,25,GY,56
0.5,0.10130057553349414,26,GY,56
0.5,0.1062340465708251,27,GY,56
0.5,0.105398247895365,28,GY,56
0.5,0.11531840068120058,29,GY,56
0.5,0.09962530155296484,30,GY,56
0.5,0.10330845420692966,31,GY,56
0.5,0.08176068059855016,32,GY,56
0.5,0.16871027698230392,33,GY,56
0.5,0.08394534401030021,34,GY,56
0.5,0.10376184250283675,35,GY,56
0.5,0.08308096296330662,36,GY,56
0.5,0.12565375635004586,37,GY,56
0.5,0.06718973545924195,38,GY,56
0.5,0.08577720923201657,39,GY,56
0.5,0.08986789247627427,40,GY,56
0.5,0.11015555931256547,41,GY,56
0.5,0.0579275032500043,42,GY,56
0.5,0.10943807856647653,43,GY,56
0.5,0.13257460814285932,44,GY,56
0.5,0.10933200770527197,45,GY,56
0.5,0.14282798782129225,46,GY,56
0.5,0.10536341392246477,47,GY,56
0.5,0.12373906859595779,48,GY,56
0.5,0.09730611817159815,49,GY,56
0.5,0.08738979087035191,50,GY,56
0.5,0.09784481028748522,51,GY,56
0.5,0.06241480085892015,52,GY,56
0.5,0.11501802470181384,53,GY,56
0.5,0.15357514431304267,54,GY,56
0.5,0.07513594039615881,55,GY,56
0.5,0.06978891461110236,56,GY,56
0.5,0.05718885576203118,57,GY,56
0.5,0.10591121120015923,58,GY,56
0.5,0.10202346149816048,59,GY,56
0.5,0.10136241771577302,60,GY,56
0.5,0.11116700464828277,61,GY,56
0.5,0.12992935066946776,62,GY,56
0.5,0.09820886537939194,63,GY,56
0.5,0.07645601707104073,64,GY,56
0.5,0.05890252294486581,65,GY,56
0.5,0.1444992780650051,66,GY,56
0.5,0.09490081989719527,67,GY,56
0.5,0.12686127263353858,68,GY,56
0.5,0.07887286060815224,69,GY,56
0.5,0.09081784034139759,70,GY,56
0.5,0.13585007377749053,71,GY,56
0.5,0.11609483229834498,72,GY,56
0.5,0.08768131285880018,73,GY,56
0.5,0.0820543676599069,74,GY,56
0.5,0.07702038425238779,75,GY,56
0.5,0.09050134972161805,76,GY,56
0.5,0.13593805892278654,77,GY,56
0.5,0.1288145781365711,78,GY,56
0.5,0.06419374526218556,79,GY,56
0.5,0.10574386239914739,80,GY,56
0.5,0.13190201361346282,81,GY,56
0.5,0.152598058188412,82,GY,56
0.5,0.1718076893969847,83,GY,56
0.5,0.07906873858003396,84,GY,56
0.5,0.07420335739090564,85,GY,56
0.5,0.1001998280263172,86,GY,56
0.5,0.06827804127902204,87,GY,56
0.5,0.1216201745424899,88,GY,56
0.5,0.10894652062588547,89,GY,56
0.5,0.10828174584499586,90,GY,56
0.5,0.10330845420692966,91,GY,56
0.5,0.13597939833373351,92,GY,56
0.5,0.09678981660384743,93,GY,56
0.5,0.15170478748982552,94,GY,56
0.5,0.1304781933861394,95,GY,56
0.5,0.12491389547652754,96,GY,56
0.5,0.10216422520251167,97,GY,56
0.5,0.12855067737386627,98,GY,56
0.5,0.10938969741275573,99,GY,56
0.5,0.06573083398118228,100,GY,56
0.75,0.08904748378493574,1,GY,28
0.75,0.04829134309981775,2,GY,28
0.75,0.09680748389065408,3,GY,28
